University,Program,Study Level,Country,Official Website
St Matthew's University,Doctor of Veterinary Medicine,Masters,Cayman Islands,https://qs.topuniversities.com/smu?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,ARQ Architect,Bachelors,Mexico,https://tec.mx/en
Monash University,Master of Applied Linguistics (2 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),B. Tech. (Hons.) Energy Technology with LL.B in IPR Law (Intake till 2016),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Sophia University ,"Department Of Global Studies (Sophia Program for Sustainable Futures – SPSF, taught in English)",Bachelors,Japan,http://www.sophia.ac.jp/
Aarhus University,Economics and Business Administration - Information Management,Masters,Denmark,http://international.au.dk/
IULM University,"Marketing, Consumption and Communication",Masters,Italy,http://www.iulm.com?utm_source=qstopuniversity&utm_medium=profile&utm_campaign=internazionale
Tecnológico de Monterrey,Residency in Critical Care Medicine (REE),Masters,Mexico,https://tec.mx/en
University of Petroleum and Energy Studies (UPES),BA (Hons.) Economics - Energy Economics,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BBA (Aviation Management) - Airport Capacity Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of the Arts London,MSc Cosmetic Science,Bachelors,,http://www.arts.ac.uk?utm_source=qs&utm_medium=profile&utm_campaign=referralsites
Monash University,Master of Financial Mathematics (1 year),Masters,Australia,http://www.monash.edu.au
"Monash Business School, Monash University ","Bachelor of Commerce, Bachelor of Information Technology",Bachelors,Australia,
Monash University,Professional Entry Master of Teaching,Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),B. Tech (Food Technology) - Food Biotechnology,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Advanced Nursing (1.5 years),Masters,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,Residency in Obstetrics and Gynecology (REG),Masters,Mexico,https://tec.mx/en
Tecnológico de Monterrey,Master of Science in Manufacturing Systems (MSM),Masters,Mexico,https://tec.mx/en
The University of Law ,LLB (Hons) Law Accelerated,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Public Health (1 year),Masters,Australia,http://www.monash.edu.au
The University of Law ,BSc (Hons) Professional Policing with Foundation Year,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Clinical Pharmacy (3 years),Masters,Australia,http://www.monash.edu.au
Monash University,"Bachelor of Medical Science, Doctor of Medicine (5 years)",Bachelors,Australia,http://www.monash.edu.au
Monash University,Bachelor of Health Sciences (Honours),Bachelors,Australia,http://www.monash.edu.au
"Monash Business School, Monash University ","Bachelor of Business, Bachelor of Marketing",Bachelors,Australia,
Monash University,"Bachelor of Education (Honours), Bachelor of Music",Bachelors,Australia,http://www.monash.edu.au
Monash University,Bachelor of Biomedical Science (Honours),Bachelors,Australia,http://www.monash.edu.au
Chalmers University of Technology,"Materials Chemistry, MSc",Masters,Sweden,http://www.chalmers.se/en
University of Petroleum and Energy Studies (UPES),M. Tech By Research,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ",Bachelor of Economics,Bachelors,Australia,
Monash University,Master of Applied Linguistics (1.5 years),Masters,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,Master in Humanistics Studies (MEH),Masters,Mexico,https://tec.mx/en
Aarhus University,Linguistics,Masters,Denmark,http://international.au.dk/
University of Petroleum and Energy Studies (UPES),BA (Public Policy) - Public Administration,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
GISMA Business School,MSc Cyber Security and Data Governance,Masters,Germany,https://qs.topuniversities.com/gisma?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Bioethics (1.5 years),Masters,Australia,http://www.monash.edu.au
Monash University,Master of Communications and Media Studies (1 year),Masters,Australia,http://www.monash.edu.au
Monash University,Doctor of Law,PHD,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,IE Electronics Engineer,Bachelors,Mexico,https://tec.mx/en
Tecnológico de Monterrey,Master in Education Online (MEE-V),Masters,Mexico,https://tec.mx/en
Monash University,Master of International Sustainable Tourism Management (1 year),Masters,Australia,http://www.monash.edu.au
Monash University,Master of Financial Mathematics (2 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Integrated (B. Sc.) - (M. Sc.) Microbiology - Food and Environmental Microbiology,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Bachelor of Design,Bachelors,Australia,http://www.monash.edu.au
Monash University,Bachelor of Science Advanced - Research (Honours),Bachelors,Australia,http://www.monash.edu.au
"Monash Business School, Monash University ",Master of Business (1 year),Masters,Australia,
Monash University,"Bachelor of Laws (Honours), Bachelor of Information Technology",Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),M. Tech (Computer Science and Engineering) - Cyber Security and Forensics,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,LTM Bachelor of Music Technology and Production,Bachelors,Mexico,https://tec.mx/en
University of Petroleum and Energy Studies (UPES),BBA (Aviation Management) - Travel and Tour Operations,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,LDE Bachelor of Entrepreneurship,Bachelors,Mexico,https://tec.mx/en
Monash University,Master of Public Policy (1.5 years),Masters,Australia,http://www.monash.edu.au
Monash University,Bachelor of Computer Science Advanced (Honours),Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Master of Computer Application (MCA) - Cyber Security and Forensics,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,"Bachelor of Engineering (Honours), Master of Engineering",Bachelors,Australia,http://www.monash.edu.au
Monash University,Master of Laws,Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Integrated (B.Des) - (M.Des) - (Graphics Design),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The Education University of Hong Kong,Bachelor of Arts (Honours) in English Studies and Digital Communication (Four-year Full-time) (Senior Year Entry only),Bachelors,Hong Kong SAR,https://www.eduhk.hk/en/
The University of Law ,LLB (Hons) Law with Foundation Year,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Bachelor of Health Sciences (Honours),Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),LL.B.,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BBA - Human Resource,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),MBA - Marketing Management,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Universidad de Lima,Master of Taxation and Fiscal Policy,Masters,Peru,http://www.ulima.edu.pe/en
Chalmers University of Technology,"Materials Chemistry, MSc",Masters,Sweden,http://www.chalmers.se/en
University of Petroleum and Energy Studies (UPES),BBA (Logistics Management) - Service Operations & Procurement,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Southern Mindanao,Bachelor of Science in Biology,Bachelors,Philippines,
The University of Law ,LLM Company Law - Part-time (Online),Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),M.Tech (Chemical Engineering) - Process Automation,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),M.Tech (Rotating Equipment),Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The University of Queensland,Bachelor of Biotechnology,Bachelors,Australia,https://study.uq.edu.au/?utm_source=topuniversities.com&utm_medium=referral&utm_campaign=int-qstu
Monash University,Doctor of Clinical Neuropsychology,PHD,Australia,http://www.monash.edu.au
Aarhus University,Economics and Business Administration - Operations and Supply Chain Analytics,Masters,Denmark,http://international.au.dk/
Tecnológico de Monterrey,IQ Chemical Engineer,Bachelors,Mexico,https://tec.mx/en
Monash University,Research Master of Arts (Research Training),Masters,Australia,http://www.monash.edu.au
The University of Law ,LLB (Hons) Law with Criminology,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BA LL.B. (Hons.) (Option to choose from 16 specializations),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Computer Science (1.4 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),M. Sc. (Microbiology) - Food and Environmental Microbiology,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),Master of Computer Application (MCA) - Cyber Security and Forensics,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,IMT Mechatronics Engineer,Bachelors,Mexico,https://tec.mx/en
University of Petroleum and Energy Studies (UPES),Integrated (B.Des) - (M.Des)- (Transportation and Mobility Design),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Universidad de Lima,Law,Bachelors,Peru,http://www.ulima.edu.pe/en
Universidad de Lima,Management,Bachelors,Peru,http://www.ulima.edu.pe/en
Monash University,"Bachelor of Laws (Honours), Bachelor of Science",Bachelors,Australia,http://www.monash.edu.au
The University of Law ,LLM Master of Law (General) - Part-time (Online),Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Clinical Pharmacy (3 years),Masters,Australia,http://www.monash.edu.au
Monash University,"Bachelor of Laws, Bachelor of Politics, Philosophy and Economics",Bachelors,Australia,http://www.monash.edu.au
Monash University,Master of Strategic Communications Management (Double Masters with Shanghai Jiao Tong University),Masters,Australia,http://www.monash.edu.au
The University of Law ,LLM Mediation and Alternative Dispute Resolution - Full-time,Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ","Bachelor of Commerce, Bachelor of Arts",Bachelors,Australia,
Monash University,Master of International Relations and Journalism (2 years),Masters,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,Ph.D. in Clinical Sciences (DCL),PHD,Mexico,https://tec.mx/en
Tecnológico de Monterrey,PH. D. in Biomedical Sciences (DBC),PHD,Mexico,https://tec.mx/en
"Monash Business School, Monash University ","Bachelor of Business, Bachelor of Media Communication",Bachelors,Australia,
Monash University,Research Master of Philosophy (Faculty of Law),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Integrated (BBA) – (MBA) - Operations Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Advanced Clinical Nursing (1.5 years),Masters,Australia,http://www.monash.edu.au
Monash University,Master of Biotechnology (1 year),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),"M.Tech. (Health, Safety and Environment) - Disaster Management",Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),M. Sc. (Nutrition and Dietetics) - Nutraceutical and Nutritional Policy,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),M.Tech (Rotating Equipment),Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BBA (Digital Business) - Digital Media Laws,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Digital Law (0.7 year),Masters,Australia,http://www.monash.edu.au
The University of Law ,LLB (Hons) Law with International Business (ULaw Hong Kong),Bachelors,Hong Kong SAR,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
London School of Business and Finance,Master in Strategic Marketing,Masters,,https://qs.topuniversities.com/lsbf-online?utm_source=topuni&utm_medium=advanced_profile
University Canada West,Online Bachelor of Arts in Business Communication (BA),Bachelors,Canada,https://qs.topuniversities.com/university-canada-west?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),Integrated (B.Des) - (M.Des) - (Interaction Design),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,Master in Energy Management and Renewable Sources (MER-V),Masters,Mexico,https://tec.mx/en
Tecnológico de Monterrey,Specialization in Logistics and Supply Chain (ELS),Masters,Mexico,https://tec.mx/en
Tecnológico de Monterrey,Specialization in Management for Educational Leadership and Innovation Online Modality (EGE-V),Masters,Mexico,https://tec.mx/en
University of Petroleum and Energy Studies (UPES),B.Tech (Electronics and Communication Engineering) - 5 G Communication and Technology,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The University of Law ,BSc (Hons) Professional Policing,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,"Bachelor of Politics, Philosophy and Economics",Bachelors,Australia,http://www.monash.edu.au
Monash University,Bachelor of Nutrition Science,Bachelors,Australia,http://www.monash.edu.au
Universidad de Lima,Architecture,Bachelors,Peru,http://www.ulima.edu.pe/en
University of Petroleum and Energy Studies (UPES),BBA - Finance Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The University of Law ,Online LLM International Business Law (ULaw Hong Kong),Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ",Bachelor of Economics,Bachelors,Australia,
Monash University,Master of International Sustainable Tourism Management (1.5 years),Masters,Australia,http://www.monash.edu.au
Monash University,Bachelor of Science Advanced - Research (Honours),Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),BBA (Foreign Trade) - Regional Economic Integration,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
GISMA Business School,MSc Digital Marketing,Masters,Germany,https://qs.topuniversities.com/gisma?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,Residency in Neonatology (RNE),Masters,Mexico,https://tec.mx/en
University of the Arts London,BA (Hons) Technical Arts for Theatre and Performance,Bachelors,United Kingdom,http://www.arts.ac.uk?utm_source=qs&utm_medium=profile&utm_campaign=referralsites
Aarhus University,Economics,Masters,Denmark,http://international.au.dk/
University of the Arts London,MA Animation (Online),Masters,United Kingdom,http://www.arts.ac.uk?utm_source=qs&utm_medium=profile&utm_campaign=referralsites
"Monash Business School, Monash University ",Bachelor of Commerce (Honours),Bachelors,Australia,
Monash University,Bachelor of Biomedical Science (Honours),Bachelors,Australia,http://www.monash.edu.au
The University of Law ,LLM Master of Law (International) - Part-time,Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,"Bachelor of Education (Honours), Bachelor of Music",Bachelors,Australia,http://www.monash.edu.au
Monash University,Professional Entry Master of Teaching,Masters,Australia,http://www.monash.edu.au
Monash University,Master of Applied Linguistics (1.5 years),Masters,Australia,http://www.monash.edu.au
London School of Business and Finance,Global MBA (Project Management),,[],https://qs.topuniversities.com/lsbf-online?utm_source=topuni&utm_medium=advanced_profile
Universidad de Lima,Law,Bachelors,Peru,http://www.ulima.edu.pe/en
Chalmers University of Technology,"Software Engineering and Technology, MSc",Masters,Sweden,http://www.chalmers.se/en
Aarhus University,Linguistics,Masters,Denmark,http://international.au.dk/
Universidad de Lima,Master of Business Law,Masters,Peru,http://www.ulima.edu.pe/en
The University of Queensland,Master of Business Analytics,Masters,Australia,https://study.uq.edu.au/?utm_source=topuniversities.com&utm_medium=referral&utm_campaign=int-qstu
Tecnológico de Monterrey,IFI Industrial Physical Engineer,Bachelors,Mexico,https://tec.mx/en
"Monash Business School, Monash University ",Master of Business Analytics (2 years),Masters,Australia,
"Monash Business School, Monash University ","Bachelor of Business, Bachelor of Information Technology",Bachelors,Australia,
University of Petroleum and Energy Studies (UPES),B.Des. (User Experience and Interaction Design),Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Advanced Nursing (1.5 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),M. Sc. (Microbiology) - Medical and Pharmaceutical Microbiology,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Biomedical and Health Science (2 years),Masters,Australia,http://www.monash.edu.au
Monash University,"Bachelor of Science, Bachelor of Arts",Bachelors,Australia,http://www.monash.edu.au
GISMA Business School,MSc Strategic Business Management,Masters,Germany,https://qs.topuniversities.com/gisma?utm_source=topuni&utm_medium=advanced_profile
Universidad de Palermo (UP),Computer Engineering,Bachelors,Argentina,http://www.palermo.edu
The University of Law ,International Foundation Programme – Law,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Professional Entry Master of Teaching,Masters,Australia,http://www.monash.edu.au
Monash University,Professional Entry Master of Medical Ultrasound,Masters,Australia,http://www.monash.edu.au
Chalmers University of Technology,"Industrial Design Engineering, MSc",Masters,Sweden,http://www.chalmers.se/en
Tecnológico de Monterrey,Specialization in Energy Management (EAE),Masters,Mexico,https://tec.mx/en
Tecnológico de Monterrey,LCPF Bachelor of Public Accounting and Finance,Bachelors,Mexico,https://tec.mx/en
Monash University,Bachelor of Health Sciences,Bachelors,Australia,http://www.monash.edu.au
ISAM International School of Agri Management,Master Internacional en Gestión de Agronegocios Online,Masters,Spain,https://isam.education/en/home/
Monash University,Research Master of Philosophy (Faculty of Pharmacy and Pharmaceutical Sciences),Masters,Australia,http://www.monash.edu.au
The University of Law ,Online LLM International Human Rights (ULaw Hong Kong),Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Communications and Media Studies (1 year),Masters,Australia,http://www.monash.edu.au
Monash University,"Doctor of Art, Design and Architecture",PHD,Australia,http://www.monash.edu.au
Monash University,"Bachelor of Laws (Honours), Bachelor of Computer Science",Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),M. Tech By Research,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Bachelor of Pharmacy (Honours),Bachelors,Malaysia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),BBA - Marketing Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,Master in Digital Humanities Online (MHD-V),Masters,Mexico,https://tec.mx/en
GISMA Business School,Grenoble MSc Marketing Management,Masters,Germany,https://qs.topuniversities.com/gisma?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),B.Pharmacy,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,Ph. D. in Humanistic Studies,PHD,Mexico,https://tec.mx/en
London School of Business and Finance,Global MBA (Sales Management),,[],https://qs.topuniversities.com/lsbf-online?utm_source=topuni&utm_medium=advanced_profile
Monash University,Bachelor of Public Health,Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),BBA (Logistics Management) - Service Operations & Procurement,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),B.Tech. (Electronics and Communication Engineering) - VLSI Design and Embedded Systems,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The University of Law ,LLB (Hons) Law with Foundation Year,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ","Bachelor of Business, Bachelor of International Business",Bachelors,Australia,
IULM University,"Television, Cinema and New Media",Masters,Italy,http://www.iulm.com?utm_source=qstopuniversity&utm_medium=profile&utm_campaign=internazionale
Universidad de Lima,Master of Business Administration (MBA),Masters,Peru,http://www.ulima.edu.pe/en
Monash University,Master of Advanced Nursing (1 year),Masters,Australia,http://www.monash.edu.au
Monash University,Professional Entry Master of Radiation Therapy,Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),MBA - Human Resource,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,"Bachelor of Nursing (Honours), Bachelor of Midwifery",Bachelors,Australia,http://www.monash.edu.au
The University of Law ,Legal Practice Course (LPC) - part-time evening,Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BBA (Logistics Management) - Logistics Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Professional Entry Master of Physiotherapy,Masters,Australia,http://www.monash.edu.au
Monash University,Master of Computer Science (1.4 years),Masters,Australia,http://www.monash.edu.au
Monash University,Research Master of Surgery,Masters,Australia,http://www.monash.edu.au
Monash University,Master of Clinical Pharmacy (2 years),Masters,Australia,http://www.monash.edu.au
Monash University,Research Master of Engineering Science,Masters,Australia,http://www.monash.edu.au
Monash University,Professional Entry Master of Counselling (1 year),Masters,Australia,http://www.monash.edu.au
Chalmers University of Technology,"Materials Chemistry, MSc",Masters,Sweden,http://www.chalmers.se/en
Monash University,Master of Business Information Systems (2 years),Masters,Australia,http://www.monash.edu.au
"Monash Business School, Monash University ",Master of Management (1 year),Masters,Australia,
University of Petroleum and Energy Studies (UPES),Integrated (BBA) – (MBA) - Finance Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of Public Health (1.5 years),Masters,Australia,http://www.monash.edu.au
Monash University,Master of International Sustainable Tourism Management (1 year),Masters,Australia,http://www.monash.edu.au
Bocconi University,MSc in Economics and Management of Innovation and Technology,Masters,Italy,https://qs.topuniversities.com/bocconi?utm_source=topuni&utm_medium=advanced_profile
The University of Queensland,Bachelor of Architectural Design,Bachelors,Australia,https://study.uq.edu.au/?utm_source=topuniversities.com&utm_medium=referral&utm_campaign=int-qstu
The University of Law ,BA (Hons) Business Management (ULaw Hong Kong),Bachelors,Hong Kong SAR,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ","Bachelor of Commerce, Bachelor of Finance",Bachelors,Australia,
University of Petroleum and Energy Studies (UPES),Master of Computer Application (MCA) - Artificial Intelligence and Machine Learning,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,"Bachelor of Fine Art, Bachelor of Information Technology",Bachelors,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,MC Surgeon,Bachelors,Mexico,https://tec.mx/en
Universidad de Lima,Marketing,Bachelors,Peru,http://www.ulima.edu.pe/en
University of Petroleum and Energy Studies (UPES),M. Tech By Research,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
The University of Law ,Online LLB (Hons) Law with Criminology (ULaw Hong Kong),Bachelors,Hong Kong SAR,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Sunway University,BSc (Hons) in Computer Science,Bachelors,Malaysia,https://university.sunway.edu.my/
Monash University,Research Master of Arts (Research Training),Masters,Australia,http://www.monash.edu.au
Monash University,Master of Applied Behaviour Analysis,Masters,Australia,http://www.monash.edu.au
The University of Law ,BSc (Hons) Professional Policing,Bachelors,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Monash University,Doctor of Theatre Performance,PHD,Australia,http://www.monash.edu.au
Monash University,"Bachelor of Science, Bachelor of Computer Science",Bachelors,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),B.Tech (Electronics and Communication Engineering) - 5 G Communication and Technology,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),BBA (Analytics and Big Data) - Big Data Analytics and Mining,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
ISAM International School of Agri Management,Master in International Agribusiness Management,Masters,,https://isam.education/en/home/
The University of Law ,LLM Master of Law (General) (ULaw Hong Kong),Masters,Hong Kong SAR,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,ITC Computer Technology Engineer,Bachelors,Mexico,https://tec.mx/en
Tecnológico de Monterrey,Residency in Obstetrics and Gynecology (REG),Masters,Mexico,https://tec.mx/en
Monash University,Research Master of Arts (February),Masters,Australia,http://www.monash.edu.au
The University of Law ,LLM Mediation and Alternative Dispute Resolution - Part-time (Online),Masters,United Kingdom,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
University of Petroleum and Energy Studies (UPES),M.Sc. (Physics) - Material Science,Masters,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Research Master of Philosophy (Monash University Accident Research Centre),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),Integrated (B. Sc.) - (M. Sc.) Clinical Research - Clinical Pharmacokinetics,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ",Master of Business Analytics (2 years),Masters,Australia,
Monash University,Master of Bioethics (2 years),Masters,Australia,http://www.monash.edu.au
University of Petroleum and Energy Studies (UPES),BBA - Operations Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
"Monash Business School, Monash University ",Bachelor of Accounting,Bachelors,Australia,
Aarhus University,Economics and Business Administration - Management Accounting and Control,Masters,Denmark,http://international.au.dk/
Tecnológico de Monterrey,Master in Engineering Management (MEM),Masters,Mexico,https://tec.mx/en
Aarhus University,Economics and Business Administration - Information Management,Masters,Denmark,http://international.au.dk/
University of Petroleum and Energy Studies (UPES),BA Journalism and Mass Communication (Digital) - Digital Publishing / Website Management,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Tecnológico de Monterrey,Master in Law (MDP),Masters,Mexico,https://tec.mx/en
The University of Law ,LLM Company Law (ULaw Hong Kong),Masters,Hong Kong SAR,https://qs.topuniversities.com/ulaw?utm_source=topuni&utm_medium=advanced_profile
Sunway University,BSc (Hons) in Computer Science,Bachelors,Malaysia,https://university.sunway.edu.my/
University of Petroleum and Energy Studies (UPES),Integrated (B. Sc.) - (M. Sc.) Clinical Research - Regulatory Affairs,Bachelors,India,https://qs.topuniversities.com/upes?utm_source=topuni&utm_medium=advanced_profile
Monash University,Master of TESOL (2 years),Masters,Australia,http://www.monash.edu.au
Monash University,"Bachelor of Criminology, Bachelor of Information Technology",Bachelors,Australia,http://www.monash.edu.au
Tecnológico de Monterrey,ITC Computer Technology Engineer,Bachelors,Mexico,https://tec.mx/en
